,Year,Smoke_estimate,Mean_GIS_Acres,Mean_Distance
0,1963,13.439763290442478,678.2726200347709,902.9862493825581
1,1964,14.550933424382237,843.6560478040377,951.7981661020207
2,1965,12.092012048402413,617.5905575112141,983.3172520315572
3,1966,29.77333233278575,1491.5970978387465,926.2284644819593
4,1967,13.824622762267726,712.397832294112,980.5249023388459
5,1968,8.460545700958477,539.324414347545,985.7079702215465
6,1969,10.135112150245673,515.4522352791881,984.2386584676191
7,1970,13.806837146095132,768.4682365416402,937.6300198195614
8,1971,29.24772167935411,1443.4662953772665,907.1164263839111
9,1972,17.540404979377612,737.7354259767563,980.3880383944146
10,1973,22.395990867230154,1284.5387949405479,939.2083834277997
11,1974,10.823628376517046,603.6005794580475,986.7753700085958
12,1975,9.549236285517722,544.4003816429524,960.5596690910171
13,1976,14.791635210777816,837.5044043305613,944.9502252392181
14,1977,11.354507787160358,749.1487934973321,994.149394748617
15,1978,3.5681118183022105,212.22347525853027,1002.0810394555284
16,1979,16.388183203141285,854.2114353321698,978.2281535491771
17,1980,11.135862983086962,649.6947261805819,971.8883867954967
18,1981,25.343432349866298,1276.5928322416792,959.6397595562754
19,1982,9.272466015604627,483.27563735099505,968.824180465625
20,1983,21.240955695128793,1151.4827994698514,935.4712902420814
21,1984,26.44858784709398,1247.041460680688,955.4556263524086
22,1985,32.99588308247952,1692.5534453219605,924.893337947032
23,1986,22.419846496218135,1185.737301003246,942.5830195052513
24,1987,31.62942577069843,1717.7127747884074,906.2374757904398
25,1988,76.6435476763258,2609.8187442851613,866.9679019481825
26,1989,21.754549722741935,1039.5195610160154,937.0886482863325
27,1990,25.662348330006886,1103.2452915452043,952.1779371682429
28,1991,31.823780541435834,1361.9643281501635,915.3183802790555
29,1992,26.34888968273545,1318.1168060983675,920.3362894219662
30,1993,16.77601304528236,1152.4192827059144,987.6229948947583
31,1994,42.17217169123935,2206.2210961536352,884.4821414387832
32,1995,20.94205165976187,1170.0440290562813,931.0106454638203
33,1996,67.79608621378077,3427.0569419720237,877.5084137208146
34,1997,12.209914497269331,632.2064527980737,936.9691464614268
35,1998,19.889679893746035,1092.2507839996524,886.6846313637258
36,1999,50.43042269466792,2559.065334931469,907.0219764693758
37,2000,64.32817748114441,2795.9297397004316,795.1118647922798
38,2001,27.133731642982738,1531.6065482022573,907.1382121119784
39,2002,48.810557042439655,2426.654955062251,880.3747640098669
40,2003,38.43003202953196,1613.0402776258638,863.5704111443732
41,2004,14.781462971194868,913.9282616570026,929.4613059317056
42,2005,35.61623417979549,2061.967183074726,915.349717456862
43,2006,55.27069074277838,2528.8566803400145,876.2102221455353
44,2007,51.488886635928786,2528.567767745658,861.9871024499414
45,2008,24.921783542893017,1560.0730987876625,900.992074212717
46,2009,18.70312169183117,1611.4542684023481,896.2872924126649
47,2010,15.580774556854012,918.238675097359,870.4066098205284
48,2011,32.7142712052544,2136.0202871115866,956.774398849247
49,2012,68.50552844064683,2931.027593538996,821.2445178284102
50,2013,22.924542980714197,1380.3500237836024,876.348800113193
51,2014,24.802117873884114,1898.1307977679064,860.9778258430854
52,2015,33.38871158672299,2063.640087647917,813.6508890081196
53,2016,27.182908266072168,1746.1441933456852,826.5823146424193
54,2017,49.405283706582914,2621.620746856328,839.1793310372257
55,2018,40.00653026846968,2411.276116356966,848.7127945543829
56,2019,12.399958942813049,800.1193776543761,867.0919097165844
57,2020,37.15051185492119,2097.0758121209187,819.3178462136468
